,id,cts
0,1,1176
1,2,634
2,3,216
3,4,349
4,5,1741819
5,6,2805
6,7,0
7,8,3911
8,9,191
9,10,54542
10,11,1933
11,12,260
12,13,217857
13,14,0
14,15,4221798
15,16,1587
16,17,24834
17,18,303
18,19,1588
19,20,158388
20,21,2159
21,22,2100
22,23,1884688
23,24,542
24,25,0
25,26,48208
26,27,273
27,28,0
28,29,0
29,30,544
30,31,41
31,32,13759
32,33,10830769
33,34,3593060
34,35,511159
35,36,1230
36,37,2180
37,38,133
38,39,180
39,40,1870
40,41,612
41,42,3837
42,43,0
43,44,5560360
44,45,139698
45,46,1701
46,47,8899
47,48,128187
48,49,29601
49,50,28815
50,51,0
51,52,9158
52,53,217846
53,54,0
54,55,291
55,56,315
56,57,891
57,58,8119
58,59,9843
59,60,12025
60,61,713839
61,62,62623
62,63,1844
63,64,231
64,65,1621
65,66,1080
66,67,2176061
67,68,576
68,69,19479
69,70,79262
70,71,58418
71,72,4789
72,73,0
73,74,292
74,75,74064
75,76,5788
76,77,1808
77,78,0
78,79,12206
79,80,0
80,81,2757291
81,82,2408890
82,83,6185
83,84,10035
84,85,6543
85,86,677
86,87,1274
87,88,173241
88,89,191
89,90,39
90,91,5418
91,92,3673
92,93,489
93,94,250087
94,95,242605
95,96,293
96,97,1003
97,98,332
98,99,1921
99,100,2374
100,101,14483
101,102,12232
102,103,1604
103,104,20
104,105,81
105,106,908
106,107,453
107,108,63340
108,109,14151
109,110,0
110,111,3195
111,112,17690
112,113,0
113,114,641
114,115,218165
115,116,577
116,117,208
117,118,442
118,119,249
119,120,724
120,121,0
121,122,1834
122,123,0
123,124,3856
124,125,0
125,126,4398
126,127,406
127,128,0
128,129,474
129,130,11470
130,131,446
131,132,86
132,133,657
133,134,50436
134,135,91
135,136,0
136,137,748
137,138,497
138,139,0
139,140,14
140,141,0
141,142,76
142,143,2246
143,144,2941805
144,145,0
145,146,1559
146,147,3565
147,148,1275
148,149,8238603
149,150,0
150,151,132
151,152,4741
152,153,1170
153,154,43792
154,155,238346
155,156,0
156,157,4033
157,158,4702596
158,159,36955
159,160,0
160,161,856
161,162,0
162,163,906478
163,164,6650567
164,165,1722372
165,166,1662
166,167,2533
167,168,24242
168,169,0
169,170,1770
170,171,908
171,172,1002
172,173,549
173,174,0
174,175,0
175,176,780018
176,177,107
177,178,0
178,179,0
179,180,86107
180,181,756
181,182,1483152
182,183,925
183,184,0
184,185,64
185,186,165
186,187,171
187,188,1424
188,189,43426
189,190,0
190,191,522747
191,192,825121
192,193,3057498
193,194,4440286
194,195,0
