id,cts
1,4
2,3
3,2
4,2
5,10
6,5
7,1
8,5
9,2
10,7
11,4
12,2
13,8
14,1
15,12
16,4
17,6
18,2
19,4
20,7
21,5
22,5
23,10
24,3
25,1
26,6
27,2
28,1
29,1
30,3
31,1
32,6
33,15
34,11
35,9
36,4
37,5
38,2
39,2
40,4
41,3
42,5
43,1
44,13
45,7
46,4
47,6
48,7
49,6
50,6
51,1
52,6
53,8
54,1
55,2
56,2
57,3
58,5
59,6
60,6
61,9
62,7
63,4
64,2
65,4
66,4
67,11
68,3
69,6
70,7
71,7
72,5
73,1
74,2
75,7
76,5
77,4
78,1
79,6
80,1
81,11
82,11
83,5
84,6
85,5
86,3
87,4
88,7
89,2
90,1
91,5
92,5
93,2
94,8
95,8
96,2
97,4
98,2
99,4
100,5
101,6
102,6
103,4
104,1
105,1
106,3
107,2
108,7
109,6
110,1
111,5
112,6
113,1
114,3
115,8
116,3
117,2
118,2
119,2
120,3
121,1
122,4
123,1
124,5
125,1
126,5
127,2
128,1
129,2
130,6
131,2
132,1
133,3
134,7
135,1
136,1
137,3
138,2
139,1
140,1
141,1
142,1
143,5
144,11
145,1
146,4
147,5
148,4
149,14
150,1
151,2
152,5
153,4
154,6
155,8
156,1
157,5
158,12
159,6
160,1
161,3
162,1
163,9
164,13
165,10
166,4
167,5
168,6
169,1
170,4
171,3
172,4
173,3
174,1
175,1
176,9
177,2
178,1
179,1
180,7
181,3
182,10
183,3
184,1
185,1
186,2
187,2
188,4
189,6
190,1
191,9
192,9
193,11
194,12
195,1
