,id,cts
0,1,15760
1,2,3668
2,3,3040
3,4,6251
4,5,278256
5,6,11260
6,7,0
7,8,1953
8,9,0
9,10,36749
10,11,12882
11,12,1806
12,13,17802
13,14,0
14,15,1044279
15,16,3588
16,17,369
17,18,8880
18,19,14054
19,20,10926
20,21,12645
21,22,7149
22,23,406319
23,24,17493
24,25,0
25,26,74649
26,27,3990
27,28,0
28,29,0
29,30,3598
30,31,2
31,32,12370
32,33,1498497
33,34,457180
34,35,3011
35,36,4294
36,37,5681
37,38,3229
38,39,5225
39,40,11232
40,41,6579
41,42,9042
42,43,0
43,44,776927
44,45,34290
45,46,6203
46,47,21609
47,48,54830
48,49,11025
49,50,183716
50,51,0
51,52,11388
52,53,217938
53,54,0
54,55,3715
55,56,6552
56,57,15619
57,58,29325
58,59,19951
59,60,90648
60,61,252805
61,62,77653
62,63,15837
63,64,3051
64,65,2802
65,66,9325
66,67,373100
67,68,11314
68,69,31512
69,70,54928
70,71,89762
71,72,46445
72,73,0
73,74,5199
74,75,198161
75,76,19711
76,77,11014
77,78,0
78,79,41370
79,80,0
80,81,778696
81,82,473751
82,83,11798
83,84,27253
84,85,4179
85,86,3559
86,87,18865
87,88,238618
88,89,114
89,90,182
90,91,25198
91,92,14201
92,93,4549
93,94,156139
94,95,123767
95,96,1320
96,97,548
97,98,8996
98,99,6301
99,100,18222
100,101,16338
101,102,11901
102,103,15537
103,104,170
104,105,219
105,106,8896
106,107,2775
107,108,20369
108,109,10734
109,110,0
110,111,8314
111,112,43308
112,113,0
113,114,2209
114,115,90870
115,116,5431
116,117,4031
117,118,2786
118,119,2867
119,120,7292
120,121,0
121,122,6154
122,123,0
123,124,35927
124,125,0
125,126,31084
126,127,3848
127,128,0
128,129,414
129,130,1375
130,131,823
131,132,692
132,133,3103
133,134,46610
134,135,435
135,136,0
136,137,4434
137,138,5164
138,139,0
139,140,26
140,141,0
141,142,24
142,143,25011
143,144,241968
144,145,0
145,146,5184
146,147,39490
147,148,26280
148,149,838989
149,150,0
150,151,8
151,152,5465
152,153,20475
153,154,118640
154,155,159731
155,156,0
156,157,9889
157,158,414087
158,159,59136
159,160,0
160,161,6870
161,162,0
162,163,162438
163,164,895642
164,165,407591
165,166,5801
166,167,10609
167,168,130281
168,169,0
169,170,11666
170,171,1416
171,172,13192
172,173,4979
173,174,0
174,175,0
175,176,115205
176,177,773
177,178,0
178,179,0
179,180,85637
180,181,5189
181,182,289169
182,183,15382
183,184,0
184,185,614
185,186,511
186,187,662
187,188,3026
188,189,141617
189,190,0
190,191,101828
191,192,143451
192,193,343286
193,194,357442
194,195,0
