,id,cts
0,1,4
1,2,2
2,3,2
3,4,3
4,5,8
5,6,4
6,7,1
7,8,2
8,9,1
9,10,5
10,11,4
11,12,2
12,13,4
13,14,1
14,15,11
15,16,2
16,17,1
17,18,3
18,19,4
19,20,4
20,21,4
21,22,3
22,23,9
23,24,4
24,25,1
25,26,6
26,27,2
27,28,1
28,29,1
29,30,2
30,31,1
31,32,4
32,33,12
33,34,9
34,35,2
35,36,2
36,37,3
37,38,2
38,39,3
39,40,4
40,41,3
41,42,4
42,43,1
43,44,10
44,45,5
45,46,3
46,47,5
47,48,6
48,49,4
49,50,7
50,51,1
51,52,4
52,53,8
53,54,1
54,55,2
55,56,3
56,57,4
57,58,5
58,59,5
59,60,6
60,61,8
61,62,6
62,63,4
63,64,2
64,65,2
65,66,4
66,67,8
67,68,4
68,69,5
69,70,6
70,71,6
71,72,6
72,73,1
73,74,3
74,75,7
75,76,5
76,77,4
77,78,1
78,79,6
79,80,1
80,81,10
81,82,9
82,83,4
83,84,5
84,85,2
85,86,2
86,87,5
87,88,8
88,89,1
89,90,1
90,91,5
91,92,4
92,93,2
93,94,7
94,95,7
95,96,2
96,97,1
97,98,3
98,99,3
99,100,5
100,101,4
101,102,4
102,103,4
103,104,1
104,105,1
105,106,3
106,107,2
107,108,5
108,109,4
109,110,1
110,111,3
111,112,6
112,113,1
113,114,2
114,115,6
115,116,3
116,117,2
117,118,2
118,119,2
119,120,3
120,121,1
121,122,3
122,123,1
123,124,5
124,125,1
125,126,5
126,127,2
127,128,1
128,129,1
129,130,2
130,131,1
131,132,1
132,133,2
133,134,6
134,135,1
135,136,1
136,137,2
137,138,3
138,139,1
139,140,1
140,141,1
141,142,1
142,143,5
143,144,8
144,145,1
145,146,3
146,147,5
147,148,5
148,149,10
149,150,1
150,151,1
151,152,3
152,153,5
153,154,7
154,155,7
155,156,1
156,157,4
157,158,9
158,159,6
159,160,1
160,161,3
161,162,1
162,163,7
163,164,10
164,165,9
165,166,3
166,167,4
167,168,7
168,169,1
169,170,4
170,171,2
171,172,4
172,173,2
173,174,1
174,175,1
175,176,7
176,177,1
177,178,1
178,179,1
179,180,6
180,181,3
181,182,8
182,183,4
183,184,1
184,185,1
185,186,1
186,187,1
187,188,2
188,189,7
189,190,1
190,191,7
191,192,7
192,193,8
193,194,8
194,195,1
