,Unnamed: 0,id,cts,cc
0,0,1,1668,8.0
1,1,2,871,5.0
2,2,3,476,4.0
3,3,4,739,5.0
4,4,5,95772,16.0
5,5,6,1184,7.0
6,6,7,0,1.0
7,7,8,10819,13.0
8,8,9,0,1.0
9,9,10,5493,11.0
10,10,11,821,5.0
11,11,12,391,3.0
12,12,13,11544,13.0
13,13,14,0,1.0
14,14,15,313496,17.0
15,15,16,2791,10.0
16,16,17,4637,11.0
17,17,18,810,5.0
18,18,19,1947,9.0
19,19,20,13265,13.0
20,20,21,2490,10.0
21,21,22,5734,12.0
22,22,23,86609,15.0
23,23,24,937,6.0
24,24,25,0,1.0
25,25,26,21062,14.0
26,26,27,502,4.0
27,27,28,0,1.0
28,28,29,0,1.0
29,29,30,926,6.0
30,30,31,97,2.0
31,31,32,3552,10.0
32,32,33,544750,17.0
33,33,34,126882,16.0
34,34,35,14110,13.0
35,35,36,496,4.0
36,36,37,525,4.0
37,37,38,640,5.0
38,38,39,383,3.0
39,39,40,984,6.0
40,40,41,624,4.0
41,41,42,1085,6.0
42,42,43,0,1.0
43,43,44,245592,16.0
44,44,45,13203,13.0
45,45,46,476,3.0
46,46,47,5959,12.0
47,47,48,7829,12.0
48,48,49,2244,9.0
49,49,50,24221,14.0
50,50,51,0,1.0
51,51,52,1327,7.0
52,52,53,72629,15.0
53,53,54,0,1.0
54,54,55,459,3.0
55,55,56,510,4.0
56,56,57,2067,9.0
57,57,58,6145,12.0
58,58,59,4503,11.0
59,59,60,6217,12.0
60,60,61,55488,15.0
61,61,62,21927,14.0
62,62,63,4055,10.0
63,63,64,172,2.0
64,64,65,740,5.0
65,65,66,2475,9.0
66,66,67,177432,16.0
67,67,68,1317,7.0
68,68,69,2281,9.0
69,69,70,33578,14.0
70,70,71,32764,14.0
71,71,72,4792,11.0
72,72,73,0,1.0
73,73,74,697,5.0
74,74,75,38898,14.0
75,75,76,6120,12.0
76,76,77,1698,8.0
77,77,78,0,1.0
78,78,79,4951,11.0
79,79,80,0,1.0
80,80,81,286950,17.0
81,81,82,197711,16.0
82,82,83,1947,9.0
83,83,84,1467,7.0
84,84,85,1495,8.0
85,85,86,845,5.0
86,86,87,1316,7.0
87,87,88,54314,15.0
88,88,89,319,3.0
89,89,90,46,1.0
90,90,91,5538,12.0
91,91,92,1546,8.0
92,92,93,939,6.0
93,93,94,63612,15.0
94,94,95,43145,15.0
95,95,96,383,3.0
96,96,97,1284,7.0
97,97,98,559,4.0
98,98,99,2490,10.0
99,99,100,1908,9.0
100,100,101,5355,11.0
101,101,102,2673,10.0
102,102,103,1122,6.0
103,103,104,3,1.0
104,104,105,51,2.0
105,105,106,450,3.0
106,106,107,271,2.0
107,107,108,4702,11.0
108,108,109,2066,9.0
109,109,110,0,1.0
110,110,111,5286,11.0
111,111,112,12877,13.0
112,112,113,0,1.0
113,113,114,844,5.0
114,114,115,19171,13.0
115,115,116,703,5.0
116,116,117,196,2.0
117,117,118,1382,7.0
118,118,119,366,3.0
119,119,120,490,4.0
120,120,121,0,1.0
121,121,122,526,4.0
122,122,123,0,1.0
123,123,124,5596,12.0
124,124,125,0,1.0
125,125,126,4264,11.0
126,126,127,1505,8.0
127,127,128,0,1.0
128,128,129,390,3.0
129,129,130,40923,15.0
130,130,131,368,3.0
131,131,132,37,1.0
132,132,133,1742,8.0
133,133,134,6918,12.0
134,134,135,96,2.0
135,135,136,0,1.0
136,136,137,1015,6.0
137,137,138,1281,7.0
138,138,139,0,1.0
139,139,140,10,1.0
140,140,141,0,1.0
141,141,142,33,1.0
142,142,143,3816,10.0
143,143,144,89128,16.0
144,144,145,0,1.0
145,145,146,1267,7.0
146,146,147,4368,11.0
147,147,148,1935,9.0
148,148,149,282995,17.0
149,149,150,0,1.0
150,150,151,243,2.0
151,151,152,3792,10.0
152,152,153,1513,8.0
153,153,154,19447,14.0
154,154,155,67038,15.0
155,155,156,0,1.0
156,156,157,4110,10.0
157,157,158,179315,16.0
158,158,159,22825,14.0
159,159,160,0,1.0
160,160,161,886,6.0
161,161,162,0,1.0
162,162,163,59280,15.0
163,163,164,359568,17.0
164,164,165,92995,16.0
165,165,166,1082,6.0
166,166,167,1536,8.0
167,167,168,17680,13.0
168,168,169,0,1.0
169,169,170,2462,9.0
170,170,171,1542,8.0
171,171,172,1457,7.0
172,172,173,530,4.0
173,173,174,0,1.0
174,174,175,0,1.0
175,175,176,29588,14.0
176,176,177,42,1.0
177,177,178,0,1.0
178,178,179,0,1.0
179,179,180,14060,13.0
180,180,181,911,6.0
181,181,182,104173,16.0
182,182,183,1787,8.0
183,183,184,0,1.0
184,184,185,80,2.0
185,185,186,150,2.0
186,186,187,240,2.0
187,187,188,2707,10.0
188,188,189,5595,12.0
189,189,190,0,1.0
190,190,191,18328,13.0
191,191,192,27550,14.0
192,192,193,88635,15.0
193,193,194,167267,16.0
194,194,195,0,1.0
