,Location_ID_new,Count
0,1,15760
1,2,3668
2,3,3040
3,4,6251
4,5,278256
5,6,11260
6,8,1953
7,10,36749
8,11,12882
9,12,1806
10,13,17802
11,15,1044279
12,16,3588
13,17,369
14,18,8880
15,19,14054
16,20,10926
17,21,12645
18,22,7149
19,23,406319
20,24,17493
21,26,74649
22,27,3990
23,30,3598
24,31,2
25,32,12370
26,33,1498497
27,34,457180
28,35,3011
29,36,4294
30,37,5681
31,38,3229
32,39,5225
33,40,11232
34,41,6579
35,42,9042
36,44,776927
37,45,34290
38,46,6203
39,47,21609
40,48,54830
41,49,11025
42,50,183716
43,52,11388
44,53,217938
45,55,3715
46,56,6552
47,57,15619
48,58,29325
49,59,19951
50,60,90648
51,61,252805
52,62,77653
53,63,15837
54,64,3051
55,65,2802
56,66,9325
57,67,373100
58,68,11314
59,69,31512
60,70,54928
61,71,89762
62,72,46445
63,74,5199
64,75,198161
65,76,19711
66,77,11014
67,79,41370
68,81,778696
69,82,473751
70,83,11798
71,84,27253
72,85,4179
73,86,3559
74,87,18865
75,88,238618
76,89,114
77,90,182
78,91,25198
79,92,14201
80,93,4549
81,94,156139
82,95,123767
83,96,1320
84,97,548
85,98,8996
86,99,6301
87,100,18222
88,101,16338
89,102,11901
90,103,15537
91,104,170
92,105,219
93,106,8896
94,107,2775
95,108,20369
96,109,10734
97,111,8314
98,112,43308
99,114,2209
100,115,90870
101,116,5431
102,117,4031
103,118,2786
104,119,2867
105,120,7292
106,122,6154
107,124,35927
108,126,31084
109,127,3848
110,129,414
111,130,1375
112,131,823
113,132,692
114,133,3103
115,134,46610
116,135,435
117,137,4434
118,138,5164
119,140,26
120,142,24
121,143,25011
122,144,241968
123,146,5184
124,147,39490
125,148,26280
126,149,838989
127,151,8
128,152,5465
129,153,20475
130,154,118640
131,155,159731
132,157,9889
133,158,414087
134,159,59136
135,161,6870
136,163,162438
137,164,895642
138,165,407591
139,166,5801
140,167,10609
141,168,130281
142,170,11666
143,171,1416
144,172,13192
145,173,4979
146,176,115205
147,177,773
148,180,85637
149,181,5189
150,182,289169
151,183,15382
152,185,614
153,186,511
154,187,662
155,188,3026
156,189,141617
157,191,101828
158,192,143451
159,193,343286
160,194,357442
